Reference, Value, Footprint, Datasheet
"R1","330","","~"
"C1","100n","","~"
"Q2","BC546","Package_TO_SOT_THT:TO-92_Inline","http://www.fairchildsemi.com/ds/BC/BC547.pdf"
"R2","3k3","","~"
"U1","TL082","","http://www.ti.com/lit/ds/symlink/tl081.pdf"
"C2","100n","","~"
"R4","10k","","~"
"R3","100k","","~"
"R5","10k","","~"
"C3","10n","","~"
"R6","10k","","~"
"R7","10k","","~"
"Q3","BC546","Package_TO_SOT_THT:TO-92_Inline","http://www.fairchildsemi.com/ds/BC/BC547.pdf"
"J1","Power_Supply","","~"
"J2","Coil_Connection","","~"
"Q1","BC546","Package_TO_SOT_THT:TO-92_Inline","http://www.fairchildsemi.com/ds/BC/BC547.pdf"
"R8","100k","","~"
"R9","100k","","~"
